expiry_code,strike,cp,oi,data_date
202608F2,44800,C,0,2026-08-05
202608F1,44800,P,46,2026-08-05
202608F2,44800,P,0,2026-08-05
202608F1,44850,C,25,2026-08-05
202608F1,44850,P,12,2026-08-05
202608F1,44900,C,50,2026-08-05
202608F2,44900,C,0,2026-08-05
202608F1,44900,P,8,2026-08-05
202608F2,44900,P,9,2026-08-05
202608F1,44950,C,28,2026-08-05
202608F1,44950,P,0,2026-08-05
202608F1,45000,C,664,2026-08-05
202608F2,45000,C,1,2026-08-05
202608F1,45000,P,37,2026-08-05
202608F2,45000,P,0,2026-08-05
202608F1,45050,C,41,2026-08-05
202608F1,45050,P,0,2026-08-05
202608F1,45100,C,98,2026-08-05
202608F2,45100,C,4,2026-08-05
202608F1,45100,P,1,2026-08-05
202608F2,45100,P,0,2026-08-05
202608F1,45150,C,16,2026-08-05
202608F1,45150,P,0,2026-08-05
202608F1,45200,C,124,2026-08-05
202608F2,45200,C,1,2026-08-05
202608F1,45200,P,2,2026-08-05
202608F2,45200,P,0,2026-08-05
202608F1,45250,C,57,2026-08-05
202608F1,45250,P,0,2026-08-05
202608F1,45300,C,130,2026-08-05
202608F2,45300,C,0,2026-08-05
202608F1,45300,P,5,2026-08-05
202608F2,45300,P,4,2026-08-05
202608F1,45350,C,56,2026-08-05
202608F1,45350,P,0,2026-08-05
202608F1,45400,C,186,2026-08-05
202608F2,45400,C,0,2026-08-05
202608F1,45400,P,1,2026-08-05
202608F2,45400,P,0,2026-08-05
202608F1,45450,C,27,2026-08-05
202608F1,45450,P,0,2026-08-05
202608F1,45500,C,247,2026-08-05
202608F2,45500,C,2,2026-08-05
202608F1,45500,P,13,2026-08-05
202608F2,45500,P,0,2026-08-05
202608F1,45550,C,54,2026-08-05
202608F1,45550,P,0,2026-08-05
202608F1,45600,C,101,2026-08-05
202608F2,45600,C,1,2026-08-05
202608F2,45600,P,0,2026-08-05
202608F1,45600,P,3,2026-08-05
202608F1,45650,C,48,2026-08-05
202608F1,45650,P,0,2026-08-05
202608F1,45700,C,82,2026-08-05
202608F2,45700,C,0,2026-08-05
202608F2,45700,P,0,2026-08-05
202608F1,45700,P,1,2026-08-05
202608F1,45750,C,22,2026-08-05
202608F1,45750,P,0,2026-08-05
202608F1,45800,C,216,2026-08-05
202608F2,45800,C,2,2026-08-05
202608F2,45800,P,0,2026-08-05
202608F1,45800,P,0,2026-08-05
202608F1,45850,C,53,2026-08-05
202608F1,45850,P,0,2026-08-05
202608F1,45900,C,105,2026-08-05
202608F2,45900,C,5,2026-08-05
202608F2,45900,P,0,2026-08-05
202608F1,45900,P,0,2026-08-05
202608F1,45950,C,104,2026-08-05
202608F1,45950,P,0,2026-08-05
202608F1,46000,C,980,2026-08-05
202608F2,46000,C,3,2026-08-05
202608F1,46000,P,2,2026-08-05
202608F2,46000,P,0,2026-08-05
202608F1,46050,C,96,2026-08-05
202608F1,46050,P,0,2026-08-05
202608F1,46100,C,110,2026-08-05
202608F2,46100,C,6,2026-08-05
202608F1,46100,P,0,2026-08-05
202608F2,46100,P,0,2026-08-05
202608F1,46150,C,52,2026-08-05
202608F1,46150,P,0,2026-08-05
202608F1,46200,C,187,2026-08-05
202608F2,46200,C,4,2026-08-05
202608F1,46200,P,0,2026-08-05
202608F2,46200,P,0,2026-08-05
202608F1,46300,C,69,2026-08-05
202608F2,46300,C,5,2026-08-05
202608F1,46300,P,0,2026-08-05
202608F2,46300,P,0,2026-08-05
202608F1,46400,C,138,2026-08-05
202608F2,46400,C,4,2026-08-05
202608F1,46400,P,0,2026-08-05
202608F2,46400,P,0,2026-08-05
202608F1,46500,C,180,2026-08-05
202608F2,46500,C,4,2026-08-05
202608F1,46500,P,0,2026-08-05
202608F2,46500,P,0,2026-08-05
202608F1,46600,C,96,2026-08-05
202608F2,46600,C,4,2026-08-05
202608F1,46600,P,1,2026-08-05
202608F2,46600,P,0,2026-08-05
202608F2,46700,C,4,2026-08-05
202608F1,46700,C,50,2026-08-05
202608F1,46700,P,0,2026-08-05
202608F2,46700,P,0,2026-08-05
202608F1,46800,C,157,2026-08-05
202608F2,46800,C,8,2026-08-05
202608F1,46800,P,0,2026-08-05
202608F2,46800,P,0,2026-08-05
202608F2,46900,C,3,2026-08-05
202608F1,46900,C,38,2026-08-05
202608F1,46900,P,0,2026-08-05
202608F2,46900,P,0,2026-08-05
202608F1,47000,C,390,2026-08-05
202608F2,47000,C,3,2026-08-05
202608F1,47000,P,0,2026-08-05
202608F2,47000,P,0,2026-08-05
202608F1,47100,C,33,2026-08-05
202608F2,47100,C,3,2026-08-05
202608F1,47100,P,0,2026-08-05
202608F2,47100,P,0,2026-08-05
202608F1,47200,C,83,2026-08-05
202608F2,47200,C,3,2026-08-05
202608F1,47200,P,0,2026-08-05
202608F2,47200,P,0,2026-08-05
202608F1,47300,C,29,2026-08-05
202608F2,47300,C,5,2026-08-05
202608F1,47300,P,0,2026-08-05
202608F2,47300,P,0,2026-08-05
